kvtype,latest_soh,product_name,product_code,facility_name,expiration
expirationdates,-58432,Valproato de sodio; 200mg/5mL; Xarope,07D14,Matalane,
expirationdates,-58432,Valproato de sodio; 200mg/5mL; Xarope,07D14,Matalane,"21/11/2018,21/11/2019"
expirationdates,-5696,Zidovudina (AZT); 50mg/5mL 200ml; Suspensão,08S17Z,Marracuene,
expirationdates,-4776,Zidovudina (AZT); 50mg/5mL 100ml; Suspensão,08S17Y,Marracuene,
expirationdates,-3341,Zidovudina/Lamivudina/Abacavir; 300mg+150mg+300mg 60Comp; Embalagem,08S41,Marracuene,16/11/2020
expirationdates,-373,Butilescopolamina; 10mg; Comprimidos,02B01,Matalane,
expirationdates,-373,Butilescopolamina; 10mg; Comprimidos,02B01,Matalane,24/11/2015
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,1/12/2015
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,11/2/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,15/11/2023
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,17/11/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,17/3/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,18/11/2015
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,2/1/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,20/11/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,20/11/2019
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,23/11/2019
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,25/2/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,25/3/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,"26/11/2015,19/11/2017,19/11/2019,19/11/2023"
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,27/1/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,28/1/2016
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,28/11/2015
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,4/12/2017
expirationdates,-195,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Matalane,5/5/2016
expirationdates,-150,"Bisoprolol; 2,5mg; Comprimidos",01E02,Matalane,
expirationdates,-150,"Bisoprolol; 2,5mg; Comprimidos",01E02,Matalane,21/1/2016
