program_code,program_name,code,primaryname,strength,description
ESS_MEDS,VIA ESSENTIAL,07A02Z,Acido acetilsalicilico (Aspiri; 320mg; Comprimidos,320mg,Acido acetilsalicilico (Aspirina)
ESS_MEDS,VIA ESSENTIAL,23A09,Adesivo Tape (Micropore Tipo C; 20cmX5m; Rolo,20cmX5m,Adesivo Tape (Micropore Tipo Cirugico)
ESS_MEDS,VIA ESSENTIAL,08N03,Ivermectina; 6mg; Comprimidos,6mg,Ivermectina
ESS_MEDS,VIA ESSENTIAL,08S17Z,Zidovudina (AZT); 50mg/5mL 200ml; Suspensão,50mg/5mL 200ml,Zidovudina (AZT)
ESS_MEDS,VIA ESSENTIAL,FC0015,Teste  do SIMAM 2015 unidade Tratamento,unidade,Teste  do SIMAM 2015
ESS_MEDS,VIA ESSENTIAL,02D08,"Sulfato de sódio+Polietilenogl; 0,2%; Pó","0,2%",Sulfato de sÑdio+Polietilenoglicol
ESS_MEDS,VIA ESSENTIAL,08M02,Clofazimina; 100mg; Cápsulas,100mg,Clofazimina
ESS_MEDS,VIA ESSENTIAL,07C01,Ergotamina+Cafeina; 1g + 100mg; Comprimidos,1g + 100mg,Ergotamina+Cafeina
ESS_MEDS,VIA ESSENTIAL,23E01Z,Vaselina solida esterilizada; 20g Bisnaga; Pomada,20g Bisnaga,Vaselina solida esterilizada
ESS_MEDS,VIA ESSENTIAL,09A07,Ifosfamida; 1g; Injectável,1g,Ifosfamida
ESS_MEDS,VIA ESSENTIAL,01F02,Nifedipina accao prolongada; 30mg; Comprimidos,30mg,Nifedipina accao prolongada
ESS_MEDS,VIA ESSENTIAL,08B08,Ceftriaxona; 1g/4ml- ampola; Injectável,1g/4ml- ampola,Ceftriaxona
ESS_MEDS,VIA ESSENTIAL,01J02Z,Sinvastatina; 10mg; Comprimidos,10mg,Sinvastatina
ESS_MEDS,VIA ESSENTIAL,12D15,Pirodixina (Vit B6); 300mg/2mL; Injectável,300mg/2mL,Pirodixina (Vit B6)
ESS_MEDS,VIA ESSENTIAL,08H04,"Ciprofloxacina, lactato; 2mg/mL; KIT",2mg/mL,"Ciprofloxacina, lactato"
ESS_MEDS,VIA ESSENTIAL,23A05,"Adesivo Perfurado; 20cmx2,5m; Rolo","20cmx2,5m",Adesivo Perfurado
ESS_MEDS,VIA ESSENTIAL,02D07,Parafina Liquida; 100g; Emulsão,100g,Parafina Liquida
ESS_MEDS,VIA ESSENTIAL,01E02,"Bisoprolol; 2,5mg; Comprimidos","2,5mg",Bisoprolol
ESS_MEDS,VIA ESSENTIAL,07D01,Carbamazepina; 200mg; Comprimidos,200mg,Carbamazepina
ESS_MEDS,VIA ESSENTIAL,13A07,"Hidroxizina; 0,2%; Xarope","0,2%",Hidroxizina
ESS_MEDS,VIA ESSENTIAL,18D01,Atracurio ; 10mg/ml; Injectável,10mg/mL,Atracurio
ESS_MEDS,VIA ESSENTIAL,04B01,Dinoprost (Prostaglandina F2 A; 5mg/mL; Injectável,5mg/mL,Dinoprost (Prostaglandina F2 Alfa)
ESS_MEDS,VIA ESSENTIAL,17C07,Tetraciclina; 1%; Pomada oftálmica,1%,Tetraciclina
ESS_MEDS,VIA ESSENTIAL,07G06,Maprotilina; 25mg; Comprimidos,25mg,Maprotilina
ESS_MEDS,VIA ESSENTIAL,01E01Z,Atenolol; 100mg; Comprimidos,100mg,Atenolol
ESS_MEDS,VIA ESSENTIAL,08S29,Ritonavir ; 100mg 60 comp; Embalagem,100mg 60 comp,Ritonavir
ESS_MEDS,VIA ESSENTIAL,22A07,TDR de Unigold; kit de 20; Tests,kit de 20,TDR de Unigold
ESS_MEDS,VIA ESSENTIAL,21A12,Pralidoxima; 40mg/mL; Injectável,40mg/mL,Pralidoxima
ESS_MEDS,VIA ESSENTIAL,08N04Z,Mebendazol; 500mg; Comprimidos,500mg,Mebendazol
ESS_MEDS,VIA ESSENTIAL,04K03,Bicalutamida; 150mg; Comprimidos,150mg,Bicalutamida
ESS_MEDS,VIA ESSENTIAL,02H0YZ,Dimetilpolissiloxano; 250mg; Comprimidos,250mg,Dimetilpolissiloxano
ESS_MEDS,VIA ESSENTIAL,23D06,Ligadura De Gaze ; 10cm X 10m; Rolo,10cm X 10m,Ligadura De Gaze
ESS_MEDS,VIA ESSENTIAL,03A01,Dexametasona fosfato sodico; 4mg/mL; Injectável,4mg/mL,Dexametasona fosfato sodico
ESS_MEDS,VIA ESSENTIAL,13A10,Prometazina; 50mg/2mL; Injectável,50mg/2mL,Prometazina
ESS_MEDS,VIA ESSENTIAL,08N05,Piperazina; 750mg/5mL; Xarope,750mg/5mL,Piperazina
ESS_MEDS,VIA ESSENTIAL,01G02,"Nitroglicerina; 0,5mg; Comprimidos","0,5mg",Nitroglicerina
ESS_MEDS,VIA ESSENTIAL,14A01,Diclofenac; 50mg; Comprimidos,50mg,Diclofenac
ESS_MEDS,VIA ESSENTIAL,08S08,Didanosina (DDI) libertacao le; 250mg 30Caps; Embalagem,250mg 30Caps,Didanosina (DDI) libertacao lenta
ESS_MEDS,VIA ESSENTIAL,05A02,Aminofilina; 240mg/10mL; Injectável,240mg/10mL,Aminofilina
ESS_MEDS,VIA ESSENTIAL,09C04,Fluorouracilo; 50 mg/mL; Injectável,50 mg/mL,Fluorouracilo
